sample_id,json_key,violation_type,detected_violation,level,language,model,model_raw,strategy,violation_match,tp,fp,fn,tn,accuracy,expected_violation_raw,detected_violation_raw,processing_group
lsp--deepseek33b-temp0-latest--smell_lsp_0,lsp--deepseek33b-temp0-latest--smell,LSP,ISP,EASY,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,ISP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_1,lsp--deepseek33b-temp0-latest--smell,LSP,NONE,EASY,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,0,1,0,0,LSP,NONE,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_2,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_3,lsp--deepseek33b-temp0-latest--smell,LSP,ISP,EASY,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,ISP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_4,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_5,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_6,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_7,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_8,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_9,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_10,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_11,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_12,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_13,lsp--deepseek33b-temp0-latest--smell,LSP,NONE,EASY,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,0,1,0,0,LSP,NONE,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_14,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_15,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_16,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_17,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_18,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_19,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_20,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_21,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_22,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_23,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_24,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_25,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_26,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_27,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_28,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_29,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_30,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_31,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_32,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_33,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_34,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_35,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_36,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_37,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_38,lsp--deepseek33b-temp0-latest--smell,LSP,OCP,EASY,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,OCP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_39,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,EASY,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_40,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_41,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_42,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
